"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"BRA","Brazil","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.19,,
"SVN","Slovenia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.12,,
"SVN","Slovenia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.6,,
"SVN","Slovenia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.51,,
"SVN","Slovenia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.23,,
"SVN","Slovenia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.16,,
"SVN","Slovenia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",1.06,,
"ITA","Italy","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.14,,
"ITA","Italy","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.4,,
"ITA","Italy","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.33,,
"ITA","Italy","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.51,,
"ITA","Italy","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.05,,
"ITA","Italy","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.25,,
"G7M","G7","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.38,,
"G7M","G7","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.04,,
"G7M","G7","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.32,,
"G7M","G7","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.32,,
"G7M","G7","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.22,,
"G7M","G7","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.08,,
"LTU","Lithuania","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.25,,
"LTU","Lithuania","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.16,,
"LTU","Lithuania","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.49,,
"LTU","Lithuania","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.12,,
"LTU","Lithuania","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0,,
"LTU","Lithuania","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.02,,
"GBR","United Kingdom","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.15,,
"GBR","United Kingdom","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.3,,
"GBR","United Kingdom","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.26,,
"GBR","United Kingdom","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.76,,
"GBR","United Kingdom","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.33,,
"GBR","United Kingdom","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.71,,
"AUS","Australia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",1.3,,
"AUS","Australia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",1.01,,
"AUS","Australia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.27,,
"AUS","Australia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.36,,
"AUS","Australia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.45,,
"AUS","Australia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.18,,
"POL","Poland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.58,,
"POL","Poland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.09,,
"POL","Poland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.44,,
"POL","Poland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.33,,
"POL","Poland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.13,,
"POL","Poland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.48,,
"ISR","Israel","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.12,,
"ISR","Israel","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.55,,
"ISR","Israel","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",1.31,,
"ISR","Israel","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.57,,
"ISR","Israel","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.13,,
"SWE","Sweden","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.42,,
"SWE","Sweden","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.09,,
"SWE","Sweden","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.51,,
"SWE","Sweden","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.6,,
"SWE","Sweden","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.21,,
"SWE","Sweden","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.6,,
"MEX","Mexico","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.35,,
"MEX","Mexico","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.39,,
"MEX","Mexico","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.18,,
"MEX","Mexico","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.33,,
"MEX","Mexico","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.08,,
"CAN","Canada","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.29,,
"CAN","Canada","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.53,,
"CAN","Canada","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0,,
"CAN","Canada","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.65,,
"CAN","Canada","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.27,,
"CAN","Canada","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.02,,
"SVK","Slovak Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.01,,
"SVK","Slovak Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.29,,
"SVK","Slovak Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.05,,
"SVK","Slovak Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.09,,
"SVK","Slovak Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.39,,
"SVK","Slovak Republic","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.1,,
"GRC","Greece","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.31,,
"GRC","Greece","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.24,,
"GRC","Greece","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.15,,
"GRC","Greece","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.19,,
"GRC","Greece","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.08,,
"GRC","Greece","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.16,,
"JPN","Japan","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.69,,
"JPN","Japan","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.18,,
"JPN","Japan","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.02,,
"JPN","Japan","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.38,,
"JPN","Japan","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.44,,
"JPN","Japan","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.85,,
"ZAF","South Africa","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.3,,
"ZAF","South Africa","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.33,,
"ZAF","South Africa","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.33,,
"ZAF","South Africa","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.33,,
"COL","Colombia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.23,,
"COL","Colombia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.18,,
"COL","Colombia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.3,,
"COL","Colombia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.19,,
"COL","Colombia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.61,,
"CHN","China (People's Republic of)","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.62,,
"CHN","China (People's Republic of)","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.18,,
"CHN","China (People's Republic of)","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.35,,
"CHN","China (People's Republic of)","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.29,,
"A5M","Major Five Asia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.31,,
"A5M","Major Five Asia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.22,,
"A5M","Major Five Asia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.36,,
"A5M","Major Five Asia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.29,,
"A5M","Major Five Asia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-1.82,,
"PRT","Portugal","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.2,,
"PRT","Portugal","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.11,,
"PRT","Portugal","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.29,,
"PRT","Portugal","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.32,,
"PRT","Portugal","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.07,,
"PRT","Portugal","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.16,,
"TUR","Turkey","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.29,,
"TUR","Turkey","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.01,,
"TUR","Turkey","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.2,,
"TUR","Turkey","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0,,
"TUR","Turkey","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.35,,
"TUR","Turkey","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.13,,
"ESP","Spain","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.25,,
"ESP","Spain","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.04,,
"ESP","Spain","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.24,,
"ESP","Spain","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.61,,
"ESP","Spain","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.06,,
"ESP","Spain","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.16,,
"IDN","Indonesia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.22,,
"IDN","Indonesia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.27,,
"IDN","Indonesia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.8,,
"IDN","Indonesia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.27,,
"IDN","Indonesia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.71,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.01,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.03,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.44,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.33,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.45,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.41,,
"BEL","Belgium","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.55,,
"BEL","Belgium","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.08,,
"BEL","Belgium","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.1,,
"BEL","Belgium","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.73,,
"BEL","Belgium","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.12,,
"BEL","Belgium","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0,,
"ONM","OECD + Major Six NME","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.29,,
"ONM","OECD + Major Six NME","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.06,,
"ONM","OECD + Major Six NME","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.03,,
"ONM","OECD + Major Six NME","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.12,,
"ONM","OECD + Major Six NME","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.17,,
"RUS","Russia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.18,,
"RUS","Russia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.18,,
"RUS","Russia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.18,,
"KOR","Korea","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-1,,
"KOR","Korea","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",1.39,,
"KOR","Korea","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.73,,
"KOR","Korea","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.93,,
"KOR","Korea","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.5,,
